"publication_name";"publication_url";"tome";"year";"url"
"Understanding Malaria Induced Red Blood Cell Deformation Using Data-Driven Lattice Boltzmann Simulations";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_30";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Towards Model-Based Policy Elaboration on City Scale Using Game Theory: Application to Ambulance Dispatching";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_31";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Elucidation of Mechanism for Reducing Porosity in Electric Arc Spraying Through CFD";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_32";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"nSharma: Numerical Simulation Heterogeneity Aware Runtime Manager for OpenFOAM";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_33";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"High Performance Computational Hydrodynamic Simulations: UPC Parallel Architecture as a Future Alternative";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_34";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Classifying Aircraft Approach Type in the National General Aviation Flight Information Database";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_35";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"On Parametric Excitation for Exploration of Lava Tubes and Caves";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_36";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Global Simulation of Planetary Rings on Sunway TaihuLight";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_37";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Parallel Performance Analysis of Bacterial Biofilm Simulation Models";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_38";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Parallel Solutions to the k-difference Primer Problem";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_39";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
